id,name,requirements,tasks,summary,pageUrl
JOB42610886359,"Machine Learning Engineer - Fraud Engineering, Algorithms, and Risk","Strong working knowledge of machine learning algorithms including classifiers, clustering algorithms and anomaly detection techniques.,Familiarity with database modeling and data warehousing principles and SQL.,Familiarity with Big Data tools like Spark, Hive etc.,Strong programming skills in Scala, Java, Python, or similar language,Excellent social, written, and verbal communication skills,Ability and solace working independently and making key decisions on projects",," Imagine what you could do here. At Apple, new ideas have a way of becoming extraordinary products, ...",https://www.indeed.com/rc/clk?jk=915e2893ca435077&fccid=c1099851e9794854&vjs=3
JOB47141302949,"Which is a better job position, machine learning engineer or software developer?",,,"Go for machine learning engineering
The best part is
You would be in an unconventional trend
And you...",https://www.quora.com/Which-is-a-better-job-position-machine-learning-engineer-or-software-developer
JOB58868955416,"Scientist/Machine Learning Engineer, Applied Science","PhD degree in a closely related field (e.g.: computer science/engineering, optimization) with publications in the area is strongly preferred,Or Masters with significant experience in advertising and Machine Learning,Experience in one or more of the following areas: machine learning, data mining, statistical modeling, optimization, algorithms, big-data, game theory,Proficiency with one or more programming languages - ability to write/debug production code.,Excellent communication skills ability to present and communicate complex ideas in simple terms,Previous experience in the advertising industry,Strong programming experience with Java, C/C++, Python and/or Scala","Research, design and/or implement solutions to challenging problems in real-time bidding domain, such as all kinds of optimization problems, audience understanding, etc.,Research and improve features and machine learning models for production pipeline.,Provide insights and suggestions on customer campaign optimization problems and product/platform optimization problems through statistical data analysis when needed.","About Amobee:
Amobee is a technology company that transforms the way brands and agencies make market...","https://www.glassdoor.com/job-listing/scientist-machine-learning-engineer-applied-science-amobee-JV_IC1147394_KO0,51_KE52,58.htm?jl=2554605968&ctt=1548749004221"
JOB59919959800,Data Science Machine Learning Engineer,,,"Data Science/Machine Learning Engineer or Senior Data Science/Machine Learning Engineer
You will wor...",https://www.indeed.com/rc/clk?jk=55e8dfe8ee9eb722&fccid=16d24b4316c5d97f&vjs=3
JOB70260606715,Machine Learning Engineer,,,"Looking to get in on the ground floor of a startup?
We have an opportunity with exciting tech startu...",https://www.indeed.com/viewjob?jk=558108d20a8e6199&tk=1clkf7ogt1fho53c&from=vjnewtab
JOB71900099251,Which nano degree on Udacity is more job fetching “Machine Learning engineer” or “Data scientist”?,,,,https://www.quora.com/unanswered/Which-nano-degree-on-Udacity-is-more-job-fetching-Machine-Learning-engineer-or-Data-scientist
JOB80025380958,Senior Machine Learning Engineer - Recommendation Systems,"5+ years of Computer Science/ Software Engineering experience,Data structures (stacks, queues, multi-dimensional arrays, trees, graphs, etc.),Algorithms (searching, sorting, optimization, dynamic programming, etc.),Computer architecture (memory, cache, bandwidth, deadlocks, distributed processing, etc.),Understanding of probability and statistics topics, such as conditional probability, Bayes rule, likelihood, independence, etc.,Experience in working with big data and shipping production level machine learning software code,Experience in applying standard implementations of machine learning algorithms (that are widely available e.g. scikit-learn, Theano, Spark MLlib, H2O, etc) effectively by choosing a suitable model (decision tree, nearest neighbor, neural net, ensemble of multiple models, etc.),Understanding of how these different pieces work together, communicate with them (using library calls, REST APIs, database queries, etc.) and build appropriate interfaces for your component that others will depend on.,Understanding of system design may be necessary to avoid bottlenecks and let your algorithms scale well with increasing volumes of data.,Fluent in one or more backend languages, with experience in Ruby a plus, and stay up-to-date on standard methodologies.",,"
Job description
About the Role
As a Machine Learning Software Engineer, you'll help build a recomme...",https://stackoverflow.com/jobs/203447/senior-machine-learning-engineer-recommendation-wework-global-technology
JOB86056044660,Machine Learning Engineer - Data & Analytics,,,Slalom is a purpose-driven consulting firm that helps companies solve business problems and build fo...,https://www.cc.gatech.edu/job-opportunity/15275/machine-learning-engineer-data-analytics
JOB101777232907,Federal - Senior Machine Learning Engineer,"3+ years’ experience in building and evolving complex software systems for data processing and machine learning workloads,Experience with Performance Engineering including testing, tuning and monitoring tools.,Expert knowledge and experience with Python","Understands and translates business and functional needs into machine learning problem statements.,Translates complex machine learning problem statements into specific deliverables and requirements.,Designs and develops scalable solutions that leverage machine learning and deep learning models to meet enterprise requirements.,Works closely with data scientists and data engineers to develop machine learning algorithms,Works on Optimization of Neural Net and Deep Learning models for inference learning algorithms into production-level code.,Collaborates with development teams to test and deploy machine learning models,Creates metrics to continuously evaluate the performance of machine learning solutions.,Maintains and improves the performance of existing machine learning solutions.,Ensures adherence to performance standards and compliance to data security requirements.,Keeps abreast with new tools, algorithms and techniques in machine learning and works to implement them in the organization","
Job Description
Organization: Accenture Federal Services
Location: San Antonio, TX
Accenture Federa...",https://www.accenture.com/us-en/careers/jobdetails?id=00787772_en&title=Federal+-+Senior+Machine+Learning+Engineer
JOB105932949209,Machine Learning Engineer,,,Indeed Prime is a free service that connects qualified job-seekers (that's you) with top companies h...,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DhVAxkc_TxySVbUOs6bxWYWOfhmDTNcVTjFFBAY1FXZ-rp2wL8MOiZo8poAkpLLNafNJnJtRY-zqDS2AkAWm2y1sBL3UJ9hSlZFqyGGLiK58_X0pQquoHVkbdJ-goBMU8j0avgaMesUHdPNB_osHO37lLTDwLHsgf17HH9YNQe42Dn38fXK29_C0gcpFm6qU8XjwY-KmitmNVHaww6Fl9evo8A1_0Lip662QfjNvyornVimI_aKTyurgQiIFkvtSWue0SzFTmK5eIi7l5FIPkDjD-m5b1mBL2g_R3nBzQvUL5HyJ0ZQwpu_Mua2QFpwX3lnDxvY2_jVZIp3QHZhd_dCcJ1ZlJ7vlIK5E6nL9P_nYlrACmcfTE9HgOFBvJ06DyWwp1Z1fAUiHl822bXHACFccdUubJhXQqI7I0VfUQ3Fb8KCtiFYoNTbyv8CA3ZLmUi3W6VBQAYPHK7IAULCRDi4_vz4AVGb91ilfBv63gQrNIBZofRwjsXVNE_nD9ON0hVoMuwJfFUN9WCMOD1EnLxYalZAyRoamQg0L25OMyo1Zk-wtsagpIm7Zs7qRe4yc8sDhsoBvNLg4c1tiJ2D6BpgpOHF3QsR46kVxI5p_Dh5DBvcCcbVRIe&vjs=3&p=4&sk=&fvj=0
JOB111273519196,Machine Learning Engineer - Recommendation Systems,"5+ years of Computer Science/ Software Engineering experience,Data structures (stacks, queues, multi-dimensional arrays, trees, graphs, etc.),Algorithms (searching, sorting, optimization, dynamic programming, etc.),Computability and Complexity (P vs. NP, NP-complete problems, big-O notation, approximate algorithms, etc.),Computer architecture (memory, cache, bandwidth, deadlocks, distributed processing, etc.),Understanding of probability and statistics topics, such as conditional probability, Bayes rule, likelihood, independence, etc.,Experience in Data Modeling & Evaluation,Experience in working with big data and shipping production level machine learning software code,Experience in applying standard implementations of machine learning algorithms (that are widely available e.g. scikit-learn, Theano, Spark MLlib, H2O, etc) effectively by choosing a suitable model (decision tree, nearest neighbor, neural net, ensemble of multiple models, etc.),Understanding of the relative advantages and disadvantages of different approaches, and the numerous gotchas (bias and variance, overfitting and underfitting, missing data, data leakage, etc.),Understanding of how a small component that fits into a larger ecosystem of products and services.,Understanding of how these different pieces work together, communicate with them (using library calls, REST APIs, database queries, etc.) and build appropriate interfaces for your component that others will depend on.,Understanding of system design may be necessary to avoid bottlenecks and let your algorithms scale well with increasing volumes of data.,Software engineering best practices (including requirements analysis, system design, modularity, version control, testing, documentation, etc.) are invaluable for productivity, collaboration, quality and maintainability.,Fluent in one or more backend languages, with experience in Ruby a plus, and stay up-to-date on standard methodologies.",,"
Job description
As a Machine Learning Software Engineer, you'll help build a recommendation system ...",https://stackoverflow.com/jobs/200785/machine-learning-engineer-recommendation-systems-wework
JOB118488213623,Machine Learning Engineer,"Python,SQL,Relational databases (e.g., Postgres, MySQL),Distributed computation (e.g., Spark, Hive, Athena),Cloud infrastructure (we use AWS),General application (e.g., web API) development,Git collaboration","Competitive base salary,Profit sharing or equity, based on experience,100%-covered Health insurance for employees, 75%-covered dependents,Four weeks PTO,401(k) with employer matching,Personalized monthly perks and matched charitable donations","
Job description
Strong Analytics is seeking a full-time, remote machine learning engineer to collab...",http://stackoverflow.com/jobs/448223/machine-learning-engineer-strong-analytics
JOB144076637929,Machine Learning Engineer,,,"Indeed Prime helps talent secure top offers from leading companies
Indeed Prime is a FREE service th...",https://primejobs.indeed.com/jobs/6a8593c79e1e5d69/machine-learning-engineer-zulily
JOB146720172122,Senior Python and Machine Learning Engineer - Remote - EU Time Zone,"Solid experience as Python Developer,Experience as a Machine Learning Engineer or as a Data Engineer,Experience with Pytorch is a big plus,Experience with OpenCV, Matplotlib, Numpy, SciPy,Understanding of computer science fundamentals, including data structures, algorithms, computability and complexity and computer architecture,Understanding of the functional programming paradigms,Basic understanding of databases, SQL, concurrency, and parallelism,Confident verbal and written English,Able to balance pragmatism with planning and long-term thinking,Proactive and self-sufficient,Attention to detail,Leadership skills,Experience working remotely is a plus,BSc in Computer Science, Engineering or relevant field,Fully distributed team, located in 19 countries,4 weeks paid holiday per year,Yearly team meetup - this year we went to Portugal!,Scrum development process,Anti-discriminatory company culture - we won’t discount you for things like needing to pick your kids up from school, your age, your ethnicity, or your gender,An excited, communicative, and helpful team - we keep our work environment positive, but we also place importance on honesty,Please state in the subject the job position you are applying for,Please mention your city and country of residence in your application,English applications only - a professional speaking and writing command of English is required for this role,Due to time zone difficulties, we’re currently only accepting applicants in European timezones","Take on the challenge to improve the performance of real world autonomous systems and be a crucial part in shaping our clients’ success.,Collaborate with and support the development team,Able to be the main point of contact for enterprise projects,Work on the entire Deep Learning pipeline, including the generation of data, training networks, and optimizing models for deployment,Investigate and develop deep learning architectures for imagery-based perception systems,Collaborate with engineers and other data scientists to evaluate and improve our systems,Able to be the main point of contact for enterprise projects,Implement software enhancements and suggest improvements","
Job description
CVEDIA is a funded AI company that develops deep learning solutions for some of the...",http://stackoverflow.com/jobs/436963/senior-python-and-machine-learning-engineer-cvedia-pte-ltd
JOB152398260296,Senior Machine Learning Engineer,"5+ years of industry experience,Master’s degree (or Bachelor’s degree with equivalent experience) in a quantitative science such as statistics, mathematics, computer science, engineering, etc.,Experience with Unix,Experience with Docker,Version control, software experience, Object oriented coding experience,Experience with streaming data and real-time inference,Comfortable creating and using APIs and integration into production environments,Experience scaling a model to production load and monitoring,Intermediate or Advanced Skills with at least one scripting and/or programming language, e.g. Python, R,Intermediate or Advanced skills with various machine learning techniques (clustering, classification, forecasting, etc.),Proficient with data integration and ETL (Pandas, SQL, etc.),Proficient in applying statistical concepts,Ability to self-start and self-direct work in a fast-paced environment,Ability to rapidly learn how different areas of a business operate,Ability to effectively communicate results of a complex analysis with a diverse non-technical audience,Experience training models with at least one deep learning (neural networks) framework (TensorFlow, CNTK, Torch, Caffe, etc.),1 year experience with visualization software (PowerBI, Tableau, Matplotlib, ggplot2, etc.),Experience with effective visualization techniques,Experience working with Big Data technologies such as HDFS, Hive, Spark, S3 storage, etc.","Improve and augment employee and consumer experience, store operations, and process optimization through ML/AI solutions,Leverage data and requirements gathered from business partners to build machine learning applications,Quickly prototype new algorithms to demonstrate value,Work with internal clients and the Data Science team to solve problems,Construct meaningful stats and machine learning datasets to answer relevant questions and enrich internal resources,Learn aspects of Store Operations, Delivery, and E-Commerce in the Quick-Service Restaurant industry for productive consulting,Coach team members less experienced with machine learning methodology,Consult with various data science team to architecture solutions, optimize software development, and deploy solutions into production environments.,Work as a bridge between data science and IT groups to support integration of AI/ML modeling into production environments.,Create and execute test plans that help address questions from non-technical business partners; translate results into business recommendations or interpretations,Consult inter-departmentally on new product deployments and incremental improvements,Consult on data collection for new products and specify requirements to ensure all tracking is in place for future analysis,Conduct analysis by mining internal and external data sources","
Job description
As a leader of innovation in the food and digital commerce space, Domino’s is const...",http://stackoverflow.com/jobs/405911/senior-machine-learning-engineer-dominos-pizza
JOB201657960517,Machine Learning Engineer,,,"STR is a privately-owned, rapidly growing business focused on research and development (R&D) for the...",https://www.cc.gatech.edu/job-opportunity/14853/machine-learning-engineer
JOB209681090272,Machine Learning Engineer,"Experience with Python, with strong love for writing tests,Experience with Tensorflow, PyTorch, Numpy,Experience with working on computer vision or NLP problems,Ability to write clean, reliable code that can be easily maintained,Ability to solve problems and identify areas of improvement","An ability to work independently within a small, fast-paced team,An entrepreneurial spirit and unrelenting passion to deliver the best service possible,The ability to implement feedback, learn quickly, and contribute new ideas",We are looking for machine learning engineers to help us build an automated backoffice. In tradition...,https://www.indeed.com/rc/clk?jk=d933cd5f42554665&fccid=e3d1e9ce06e668e2&vjs=3
JOB211455621271,Gaggle.net — Machine Learning Engineer,,,"
Title:
Machine Learning Engineer
Type:
Job
Brief Description:
NLP over social media to detect at-ri...",https://cldb.ling.washington.edu/jobdetail.php?JobID=961
JOB211841697510,Senior Machine Learning Engineer,,"You are proficient at developing software in Python and have a mastery of data structures and database fundamentals, with experience with big data technology stacks. Even better if you also have experience with TensorFlow.,You have several years of experience building production services, preferably as part of a product development team. A track record of implementing data-driven products is ideal.,You have worked in a collaborative development environment and have experience with continuous integration and delivery.,You have a strong foundation in Computer Science and Math, and at least some exposure to the fundamentals of Machine Learning. Regardless of your formal training, you geek out on reading up on modern machine learning techniques and applications. At a minimum, you have a B.S. in Computer Science or relevant quantitative science,You care about writing good code and building great software. You understand the trade-offs when we have to move faster, but you know what quality means and how to get there when we need to.,Develop robust, scalable production data products based on prototype algorithms developed in Python or R by the data science R&D team. You’ll evaluate trade-offs and do performance tuning for production traffic.,Use your engineering expertise to help design solutions to novel problems in software development, data engineering, and machine learning.,Build data pipelines. Transform and convert data streams into structures needed for algorithm input.,Collaborate with Product Manager and UX Designer to better understand the customer, provide valuable input into functional design and usability,Evaluate the effectiveness of user experiences and ML algorithms, determining what data is needed and how to collect it, with an understanding of how these metrics are connected the desired outcomes,Attention to detail - we want to be proud of our work,Test Driven Development - We maintain a suite of good tests for all production code.,Pair programming as well as individual with code reviews - we value collaborative development,Continuous Delivery - teams independently ship code to prod every day,Agile - we reduce the time to learn by having short feedback loops,Continual improvement - we take time to sharpen the saw and adjust how we work,Autonomous & responsible teams - we’re empowered to make our own product and development decisions to do the job,Cross-functional teams - collaborating through all phases of the product dev process,Customer research - we build what our customers actually want","Job Description
The Opportunity
Iris is Pluralsight’s learning intelligence platform, an innovative ...",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CT78UOVeuBVzwp9ynlKV11YtZlJcPQsDbZ0ZQAkgTi7qEpeoeZvpLmEm54eM0mEhPZMuQq1rCBerYzfHmPv-dI1HEPhQ-s1_e0IF7LvuQCkA0SexcrARx60XVnsmO6JThPz6cZ4dt3TSYItR8pC-uFAb-rcwKKfIj5gzmJmnPo-u_7R75AZlVtMrbnFDm3uBqzP-LW9UP3oxMOCwf-D20uCzioD77XkOZTQT4tPaHXRqyb8nSa4AOUhoVear1WoJ3n9MO8WoBBi8QQzDJ7HcC3MatC4MS_nV0ZnNsXuqmOy2FslzYQ-3oFwZqs9a0tCcgTNUZYD_tKS3juGObBU475iUSjMN4JwhUWLdeb55ox6K1TnUOKU-OYdD2HzOU1NbDlIyfgoBjFf3zhUMZz-LnpTHGfjZMn66Usq4u8V29o00VQsLc-Q0FzM1cr9VSFOCy7cqOsYA-tMhSUzGd3WAQ5&vjs=3&p=7&sk=&fvj=0
JOB213113874537,Machine Learning Engineer - Remote,"a Bachelor’s or higher degree in the technical field of study or equivalent practical experience,a minimum of 5 years of professional experience in Machine Learning,experience in pattern recognition, predictive modelling, and statistical analysis,strong knowledge in Machine Learning areas such as Neural Networks, Reinforcement Learning, and NLP,experience in designing Machine Learning systems at scale,experience with Big Data technologies such as Kafka, Spark, and Cassandra,fluent with a JVM programming language, ideally Scala.,comfort working in a dynamic, research-oriented team with several ongoing concurrent projects,excellent troubleshooting and creative problem-solving abilities,excellent written and oral communication in English and interpersonal skills",,"
Job description
Numbrs Personal Finance AG is a technology company. Our product is Numbrs, a multib...",http://stackoverflow.com/jobs/470789/machine-learning-engineer-remote-numbrs
JOB218709133436,Worthix - Machine Learning Engineer,,,"
As a machine learning engineer at Worthix, you will work with a small team to develop and deploy st...",https://www.cc.gatech.edu/job-opportunity/14864/worthix-machine-learning-engineer
JOB242171889372,Machine Learning Engineer (MS1596),,"5+ years experience and advanced degree in related field (math, computer science, etc),Work with data scientists to take proof-of-concept models and implement them in production systems,Design systems that work at scale and successfully handle customer load,Develop software to help extract data and create features around it,Contribute to the team with software best practices—this is especially important given the fast pace nature of the work,You’re passionate about finding solutions to deep technical problems,You have knowledge of professional enterprise software development and practices including software lifecycle, best coding practices, version control, architecture, testing and deployment,You have experience in prototyping machine learning models on data from multiple data sources with many distinct attributes,You have experience in taking proof-of-concept machine learning models and figuring out how to deploy them into production,You have familiarity with popular machine learning libraries and frameworks (tensorflow, keras, etc.)",Our client is seeking a Machine Learning Engineer who will be part of a team that leads the way in b...,https://www.indeed.com/viewjob?jk=19cbfa021717511e&from=myjobs&tk=1crloprdm1dlo000
JOB248523843654,Senior Machine Learning Engineer,"Experience producing, deploying, and improving production models,Experience with ROS,Experience with CUDA,Passion for solving problems that make a difference","Develop algorithms for the accurate detection, classification, and localization of high-value objects for tracking and analysis,Develop algorithms for scene understanding; build scene graphs, recognize obstacles for navigation, and estimate threat or intent,Contribute to our machine learning foundation tools for curating data and developing/analyzing models,Inform sensor decisions for optimal approaches to machine learning for product requirements,Develop state-of-the-art approaches in the areas described above, as applied to our unique problems,Improving the tooling and pipelines that allow us to develop models at scale,Developing and optimizing models for multiple tasks of interest,Extending models to optimize execution and pull in more functionality such as tracking or motion prediction,Developing robust APIs for easy interfacing with internal and external software components,5+ years of professional work experience as a machine learning and/or software engineer,MS in Computer Science or Engineering, similar degree, or equivalent practical experience,Experience with contributing to large and complex software projects,Practical experience with machine learning frameworks such as PyTorch and TensorFlow,Deep learning model development,Software Engineering,C++,Python,TensorFlow,Caffe/Caffe2,PyTorch,scikit-learn,OpenCV,Multi-threaded development,Excellent communication skills","
Job description
Job Description Are you a passionate and innovative software engineer looking to he...",http://stackoverflow.com/jobs/397839/senior-machine-learning-engineer-shield-ai
JOB258922948673,"Senior Machine Learning Engineer (Python, TensorFlow)",Extensive PTO plan and flexible working hours,"Developing, testing, and deploying machine learning algorithms to support and improve business processes.,Creating and maintaining a framework for deploying machine learning algorithms.,Building applications to implement, track, and monitor models, ensuring the accuracy of deployed algorithms on an ongoing basis.,Engineering ML-based solutions and algorithms to meet the needs of various TMG business units.,Conducting end-to-end analysis, including data gathering from internal and external sources; specifying requirements; processing, compiling, and validating data; and ensuring deliverables are met.,Collaborating with other technology and business teams to build creative and viable solutions.,Working hand-in-hand with Machine Learning Software Engineers to ensure a consistent and reliable ML pipeline.,TensorFlow,Keras,Scikit,SageMaker,Python,S3,SQL (Redshift/Athena),RabbitMQ,Kafka,Comfortable with ssh, bash, and linux,Tremendous opportunity to solve some of the industry’s most important challenges,Working with an extraordinary team of smart, creative, fun and highly motivated people,Comprehensive health coverage, competitive salary, 401(k) match","
Job description
By leveraging cutting-edge technologies, innovative product design, and advancement...",http://stackoverflow.com/jobs/496024/senior-machine-learning-engineer-python-the-meet-group
JOB259851495538,Staff Machine Learning Engineer,"MS/PhD in machine learning, computer science, applied mathematics or related fields.,5+ years of relevant work experience in the industry building and productionizing ML models.,Proficient in Python, Scikit-learn, XGBoost, PyTorch/TensorFlow, and other languages and frameworks appropriate for ML modeling and deployment.,Proficiency in Recommender Systems or Consumer Classification modeling is a plus!,Proficiency in Deep Learning (NLP and/or Computer Vision) is a plus!,Experience with relational databases (SQL) and large scale distributed systems.,Comfortable with experiment design and A/B and multivariate tests.,Exposure to Docker and Containerization.,Knowledgeable of core CS concepts such as: structured and unstructured data, data management and querying, common data structures and algorithms.,Strong creative thinking and problem solving skills.,Excellent oral and written communication and presentation skills.","Research, build and deploy machine learning and deep learning algorithms.,Design and build solutions leveraging the wealth of consumer clickstream data, real estate property data, images and text data of realtor.com.,Create scalable machine learning models - classification & regression (GBMs, RF, LR, etc.), forecasting, clustering, neural networks (CNNs, LSTMs, Transformers, etc.) that integrate into batch, streaming and real-time systems.,Build end-points to serve ML models in production.,ML Ops (monitor inference performance, scalability, availability, etc).,Effectively partner with product and engineering teams to ideate and build new data-driven and machine learning based features for enriching the experience of home shoppers.,Drive A/B & multivariate tests and design of experiments to facilitate testing of new product and design features, with focus on improving engagement, retention, and conversion.,Help improve the scope of our data sets by identifying new data collection and procurement opportunities on an ongoing basis.,Generate descriptive visualizations and presentations to communicate insights and results.,Mentor the team on data exploration, machine learning, deep learning and developing data-oriented products.,Work with a sense of ownership and urgency, advocate for experimentation-based, agile culture.","
Job description
Come to work for Realtor.com! A leader in online real estate and backed by industry...",http://stackoverflow.com/jobs/497688/staff-machine-learning-engineer-realtorcom
JOB260722493151,Machine Learning Engineer Salaries in the United States,Machine Learning Engineer,,"Salary estimated from 7,194 employees, users, and past and present job advertisements on Indeed in t...","https://www.indeed.com/salaries/Machine-Learning-Engineer-Salaries,-US"
